 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/SRIM files/1H_Butane_140Torr.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  4.4510E-04 g/cm3 = 6.4564E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   5.984E-03  4.178E-06  285.15 mm    11.93 mm     7.05 mm  
   3.25 MeV   5.624E-03  3.889E-06  328.18 mm    13.49 mm     8.07 mm  
   3.50 MeV   5.309E-03  3.640E-06  373.86 mm    15.06 mm     9.14 mm  
   3.75 MeV   5.030E-03  3.422E-06  422.17 mm    16.65 mm    10.28 mm  
   4.00 MeV   4.781E-03  3.229E-06  473.07 mm    18.26 mm    11.47 mm  
   4.50 MeV   4.356E-03  2.906E-06  582.48 mm    24.15 mm    14.02 mm  
   5.00 MeV   4.007E-03  2.643E-06  701.99 mm    29.71 mm    16.80 mm  
   5.50 MeV   3.713E-03  2.426E-06  831.44 mm    35.15 mm    19.78 mm  
   6.00 MeV   3.463E-03  2.243E-06  970.67 mm    40.55 mm    22.98 mm  
   6.50 MeV   3.247E-03  2.087E-06    1.12 m     45.98 mm    26.38 mm  
   7.00 MeV   3.059E-03  1.952E-06    1.28 m     51.46 mm    29.99 mm  
   8.00 MeV   2.745E-03  1.730E-06    1.62 m     71.45 mm    37.82 mm  
   9.00 MeV   2.495E-03  1.556E-06    2.00 m     90.15 mm    46.43 mm  
  10.00 MeV   2.289E-03  1.414E-06    2.42 m    108.45 mm    55.82 mm  
  11.00 MeV   2.118E-03  1.297E-06    2.88 m    126.72 mm    65.96 mm  
  12.00 MeV   1.972E-03  1.199E-06    3.36 m    145.12 mm    76.84 mm  
  13.00 MeV   1.847E-03  1.115E-06    3.89 m    163.76 mm    88.45 mm  
  14.00 MeV   1.738E-03  1.042E-06    4.45 m    182.67 mm   100.77 mm  
  15.00 MeV   1.642E-03  9.787E-07    5.04 m    201.89 mm   113.81 mm  
  16.00 MeV   1.557E-03  9.229E-07    5.66 m    221.44 mm   127.54 mm  
  17.00 MeV   1.482E-03  8.734E-07    6.32 m    241.32 mm   141.96 mm  
  18.00 MeV   1.414E-03  8.291E-07    7.01 m    261.54 mm   157.06 mm  
  20.00 MeV   1.296E-03  7.532E-07    8.48 m    336.92 mm   189.27 mm  
  22.50 MeV   1.177E-03  6.765E-07   10.51 m    444.79 mm   233.23 mm  
  25.00 MeV   1.079E-03  6.144E-07   12.72 m    547.19 mm   281.17 mm  
  27.50 MeV   9.979E-04  5.632E-07   15.13 m    647.69 mm   333.01 mm  
  30.00 MeV   9.293E-04  5.201E-07   17.72 m    747.89 mm   388.64 mm  
  32.50 MeV   8.705E-04  4.834E-07   20.50 m    848.58 mm   447.99 mm  
  35.00 MeV   8.194E-04  4.517E-07   23.46 m    950.20 mm   510.99 mm  
  37.50 MeV   7.747E-04  4.240E-07   26.59 m      1.05 m    577.54 mm  
  40.00 MeV   7.352E-04  3.997E-07   29.90 m      1.16 m    647.59 mm  
  45.00 MeV   6.684E-04  3.587E-07   37.02 m      1.54 m    797.97 mm  
  50.00 MeV   6.141E-04  3.257E-07   44.82 m      1.91 m    961.59 mm  
  55.00 MeV   5.691E-04  2.984E-07   53.27 m      2.26 m      1.14 m   
  60.00 MeV   5.311E-04  2.754E-07   62.36 m      2.61 m      1.33 m   
  65.00 MeV   4.986E-04  2.559E-07   72.06 m      2.96 m      1.53 m   
  70.00 MeV   4.705E-04  2.390E-07   82.37 m      3.31 m      1.74 m   
  80.00 MeV   4.242E-04  2.114E-07  104.74 m      4.60 m      2.20 m   
  90.00 MeV   3.876E-04  1.896E-07  129.38 m      5.80 m      2.70 m   
 100.00 MeV   3.580E-04  1.721E-07  156.20 m      6.96 m      3.24 m   
 110.00 MeV   3.335E-04  1.576E-07  185.11 m      8.10 m      3.82 m   
 120.00 MeV   3.129E-04  1.454E-07  216.05 m      9.24 m      4.43 m   
 130.00 MeV   2.953E-04  1.350E-07  248.92 m     10.37 m      5.08 m   
 140.00 MeV   2.801E-04  1.261E-07  283.66 m     11.51 m      5.76 m   
 150.00 MeV   2.668E-04  1.183E-07  320.20 m     12.66 m      6.48 m   
 160.00 MeV   2.552E-04  1.114E-07  358.49 m     13.81 m      7.22 m   
 170.00 MeV   2.448E-04  1.054E-07  398.46 m     14.97 m      7.99 m   
 180.00 MeV   2.356E-04  9.993E-08  440.05 m     16.13 m      8.78 m   
 200.00 MeV   2.198E-04  9.063E-08  527.86 m     20.44 m     10.45 m   
 225.00 MeV   2.040E-04  8.126E-08  645.83 m     26.49 m     12.66 m   
 250.00 MeV   1.912E-04  7.369E-08  772.33 m     32.07 m     15.00 m   
 275.00 MeV   1.807E-04  6.745E-08  906.72 m     37.39 m     17.46 m   
 300.00 MeV   1.720E-04  6.222E-08    1.05 km    42.53 m     20.01 m   
 325.00 MeV   1.646E-04  5.776E-08    1.20 km    47.56 m     22.65 m   
 350.00 MeV   1.582E-04  5.391E-08    1.35 km    52.48 m     25.37 m   
 375.00 MeV   1.528E-04  5.057E-08    1.51 km    57.32 m     28.15 m   
 400.00 MeV   1.480E-04  4.762E-08    1.68 km    62.09 m     31.00 m   
 450.00 MeV   1.400E-04  4.268E-08    2.03 km    79.39 m     36.85 m   
 500.00 MeV   1.338E-04  3.869E-08    2.39 km    94.95 m     42.87 m   
 550.00 MeV   1.287E-04  3.540E-08    2.77 km   109.41 m     49.02 m   
 600.00 MeV   1.245E-04  3.264E-08    3.17 km   123.08 m     55.25 m   
 650.00 MeV   1.210E-04  3.030E-08    3.57 km   136.12 m     61.55 m   
 700.00 MeV   1.181E-04  2.827E-08    3.99 km   148.65 m     67.90 m   
 800.00 MeV   1.135E-04  2.496E-08    4.85 km   192.78 m     80.64 m   
 900.00 MeV   1.101E-04  2.236E-08    5.75 km   230.94 m     93.37 m   
   1.00 GeV   1.076E-04  2.026E-08    6.67 km   265.36 m    106.01 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  2.2468E+01                keV / (ug/cm2) 
  2.2468E+01                MeV / (mg/cm2) 
  2.2468E+04                keV / (mg/cm2) 
  1.5489E+02                 eV / (1E15 atoms/cm2)
  6.4633E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
