 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/SRIM files/20Mg_Butane_140Torr.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  4.4510E-04 g/cm3 = 6.4564E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   8.653E-01  5.995E-03    7.47 mm   364.98 um   465.26 um  
   3.50 MeV   9.038E-01  5.649E-03    7.75 mm   368.46 um   470.03 um  
   3.75 MeV   9.390E-01  5.343E-03    8.02 mm   371.60 um   474.31 um  
   4.00 MeV   9.710E-01  5.072E-03    8.28 mm   374.47 um   478.21 um  
   4.50 MeV   1.026E+00  4.610E-03    8.77 mm   382.81 um   485.05 um  
   5.00 MeV   1.070E+00  4.230E-03    9.25 mm   390.14 um   490.93 um  
   5.50 MeV   1.106E+00  3.913E-03    9.71 mm   396.75 um   496.10 um  
   6.00 MeV   1.134E+00  3.643E-03   10.15 mm   402.83 um   500.74 um  
   6.50 MeV   1.155E+00  3.410E-03   10.58 mm   408.52 um   504.94 um  
   7.00 MeV   1.171E+00  3.207E-03   11.01 mm   413.92 um   508.81 um  
   8.00 MeV   1.192E+00  2.871E-03   11.86 mm   432.36 um   515.79 um  
   9.00 MeV   1.200E+00  2.603E-03   12.69 mm   449.54 um   522.01 um  
  10.00 MeV   1.200E+00  2.383E-03   13.52 mm   465.88 um   527.70 um  
  11.00 MeV   1.196E+00  2.200E-03   14.35 mm   481.67 um   532.99 um  
  12.00 MeV   1.187E+00  2.044E-03   15.19 mm   497.07 um   538.00 um  
  13.00 MeV   1.176E+00  1.911E-03   16.04 mm   512.21 um   542.77 um  
  14.00 MeV   1.164E+00  1.795E-03   16.89 mm   527.17 um   547.38 um  
  15.00 MeV   1.150E+00  1.693E-03   17.75 mm   542.01 um   551.85 um  
  16.00 MeV   1.135E+00  1.603E-03   18.62 mm   556.79 um   556.22 um  
  17.00 MeV   1.120E+00  1.522E-03   19.51 mm   571.55 um   560.51 um  
  18.00 MeV   1.105E+00  1.450E-03   20.41 mm   586.31 um   564.75 um  
  20.00 MeV   1.073E+00  1.325E-03   22.24 mm   642.67 um   573.11 um  
  22.50 MeV   1.034E+00  1.198E-03   24.61 mm   726.63 um   583.51 um  
