 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 14, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/actar_triumf/SRIM files/1H_Butane_180mbar.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  4.2930E-04 g/cm3 = 6.2272E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   5.773E-03  4.030E-06  292.37 mm    12.32 mm     7.15 mm  
   3.25 MeV   5.425E-03  3.751E-06  336.97 mm    13.94 mm     8.21 mm  
   3.50 MeV   5.120E-03  3.511E-06  384.33 mm    15.57 mm     9.32 mm  
   3.75 MeV   4.851E-03  3.300E-06  434.42 mm    17.22 mm    10.50 mm  
   4.00 MeV   4.611E-03  3.115E-06  487.19 mm    18.89 mm    11.73 mm  
   4.50 MeV   4.202E-03  2.802E-06  600.63 mm    25.01 mm    14.38 mm  
   5.00 MeV   3.865E-03  2.549E-06  724.54 mm    30.78 mm    17.25 mm  
   5.50 MeV   3.582E-03  2.340E-06  858.75 mm    36.41 mm    20.35 mm  
   6.00 MeV   3.340E-03  2.164E-06    1.00 m     42.02 mm    23.66 mm  
   6.50 MeV   3.132E-03  2.013E-06    1.16 m     47.65 mm    27.20 mm  
   7.00 MeV   2.950E-03  1.883E-06    1.32 m     53.33 mm    30.94 mm  
   8.00 MeV   2.648E-03  1.669E-06    1.68 m     74.06 mm    39.05 mm  
   9.00 MeV   2.406E-03  1.500E-06    2.07 m     93.45 mm    47.98 mm  
  10.00 MeV   2.208E-03  1.364E-06    2.51 m    112.43 mm    57.71 mm  
  11.00 MeV   2.043E-03  1.251E-06    2.98 m    131.37 mm    68.22 mm  
  12.00 MeV   1.902E-03  1.156E-06    3.49 m    150.45 mm    79.51 mm  
  13.00 MeV   1.781E-03  1.075E-06    4.03 m    169.77 mm    91.54 mm  
  14.00 MeV   1.676E-03  1.005E-06    4.61 m    189.38 mm   104.33 mm  
  15.00 MeV   1.584E-03  9.440E-07    5.22 m    209.31 mm   117.84 mm  
  16.00 MeV   1.502E-03  8.902E-07    5.87 m    229.58 mm   132.08 mm  
  17.00 MeV   1.429E-03  8.424E-07    6.55 m    250.19 mm   147.03 mm  
  18.00 MeV   1.363E-03  7.997E-07    7.26 m    271.15 mm   162.69 mm  
  20.00 MeV   1.250E-03  7.265E-07    8.79 m    349.31 mm   196.09 mm  
  22.50 MeV   1.135E-03  6.525E-07   10.89 m    461.15 mm   241.66 mm  
  25.00 MeV   1.041E-03  5.926E-07   13.19 m    567.32 mm   291.37 mm  
  27.50 MeV   9.625E-04  5.432E-07   15.68 m    671.52 mm   345.11 mm  
  30.00 MeV   8.963E-04  5.017E-07   18.37 m    775.40 mm   402.79 mm  
  32.50 MeV   8.396E-04  4.662E-07   21.25 m    879.80 mm   464.33 mm  
  35.00 MeV   7.903E-04  4.357E-07   24.32 m    985.16 mm   529.64 mm  
  37.50 MeV   7.472E-04  4.090E-07   27.57 m      1.09 m    598.65 mm  
  40.00 MeV   7.091E-04  3.855E-07   31.00 m      1.20 m    671.28 mm  
  45.00 MeV   6.447E-04  3.460E-07   38.38 m      1.60 m    827.19 mm  
  50.00 MeV   5.923E-04  3.141E-07   46.47 m      1.98 m    996.83 mm  
  55.00 MeV   5.489E-04  2.878E-07   55.23 m      2.34 m      1.18 m   
  60.00 MeV   5.123E-04  2.657E-07   64.65 m      2.71 m      1.38 m   
  65.00 MeV   4.809E-04  2.468E-07   74.71 m      3.07 m      1.58 m   
  70.00 MeV   4.538E-04  2.305E-07   85.40 m      3.44 m      1.80 m   
  80.00 MeV   4.091E-04  2.039E-07  108.59 m      4.77 m      2.28 m   
  90.00 MeV   3.739E-04  1.829E-07  134.14 m      6.01 m      2.80 m   
 100.00 MeV   3.453E-04  1.659E-07  161.94 m      7.21 m      3.36 m   
 110.00 MeV   3.216E-04  1.520E-07  191.92 m      8.40 m      3.96 m   
 120.00 MeV   3.018E-04  1.402E-07  223.99 m      9.58 m      4.60 m   
 130.00 MeV   2.848E-04  1.302E-07  258.07 m     10.76 m      5.27 m   
 140.00 MeV   2.701E-04  1.216E-07  294.09 m     11.94 m      5.98 m   
 150.00 MeV   2.574E-04  1.141E-07  331.98 m     13.13 m      6.72 m   
 160.00 MeV   2.461E-04  1.075E-07  371.68 m     14.32 m      7.48 m   
 170.00 MeV   2.362E-04  1.016E-07  413.12 m     15.52 m      8.28 m   
 180.00 MeV   2.273E-04  9.638E-08  456.24 m     16.72 m      9.11 m   
 200.00 MeV   2.120E-04  8.742E-08  547.28 m     21.19 m     10.84 m   
 225.00 MeV   1.967E-04  7.837E-08  669.60 m     27.46 m     13.13 m   
 250.00 MeV   1.844E-04  7.108E-08  800.75 m     33.25 m     15.56 m   
 275.00 MeV   1.743E-04  6.506E-08  940.08 m     38.76 m     18.10 m   
 300.00 MeV   1.659E-04  6.001E-08    1.09 km    44.10 m     20.74 m   
 325.00 MeV   1.587E-04  5.571E-08    1.24 km    49.31 m     23.48 m   
 350.00 MeV   1.526E-04  5.200E-08    1.40 km    54.41 m     26.30 m   
 375.00 MeV   1.473E-04  4.877E-08    1.57 km    59.43 m     29.19 m   
 400.00 MeV   1.427E-04  4.593E-08    1.74 km    64.37 m     32.14 m   
 450.00 MeV   1.351E-04  4.116E-08    2.10 km    82.31 m     38.21 m   
 500.00 MeV   1.290E-04  3.731E-08    2.48 km    98.44 m     44.45 m   
 550.00 MeV   1.241E-04  3.414E-08    2.87 km   113.43 m     50.82 m   
 600.00 MeV   1.201E-04  3.148E-08    3.28 km   127.61 m     57.29 m   
 650.00 MeV   1.167E-04  2.922E-08    3.71 km   141.13 m     63.82 m   
