 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 14, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/actar_triumf/SRIM files/20Mg_Butane_160mbar.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  3.8160E-04 g/cm3 = 5.5353E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   7.419E-01  5.140E-03    8.71 mm   425.71 um   542.68 um  
   3.50 MeV   7.749E-01  4.843E-03    9.04 mm   429.77 um   548.24 um  
   3.75 MeV   8.050E-01  4.581E-03    9.35 mm   433.43 um   553.24 um  
   4.00 MeV   8.324E-01  4.348E-03    9.65 mm   436.78 um   557.78 um  
   4.50 MeV   8.797E-01  3.952E-03   10.23 mm   446.51 um   565.76 um  
   5.00 MeV   9.178E-01  3.627E-03   10.79 mm   455.06 um   572.62 um  
   5.50 MeV   9.481E-01  3.354E-03   11.32 mm   462.77 um   578.66 um  
   6.00 MeV   9.720E-01  3.123E-03   11.84 mm   469.87 um   584.06 um  
   6.50 MeV   9.903E-01  2.924E-03   12.35 mm   476.50 um   588.97 um  
   7.00 MeV   1.004E+00  2.750E-03   12.85 mm   482.79 um   593.48 um  
   8.00 MeV   1.022E+00  2.461E-03   13.83 mm   504.31 um   601.62 um  
   9.00 MeV   1.029E+00  2.231E-03   14.80 mm   524.34 um   608.88 um  
  10.00 MeV   1.029E+00  2.043E-03   15.77 mm   543.41 um   615.51 um  
  11.00 MeV   1.025E+00  1.886E-03   16.74 mm   561.82 um   621.69 um  
  12.00 MeV   1.018E+00  1.753E-03   17.72 mm   579.79 um   627.52 um  
  13.00 MeV   1.009E+00  1.638E-03   18.70 mm   597.44 um   633.09 um  
  14.00 MeV   9.977E-01  1.539E-03   19.70 mm   614.89 um   638.46 um  
  15.00 MeV   9.859E-01  1.451E-03   20.71 mm   632.21 um   643.68 um  
  16.00 MeV   9.734E-01  1.374E-03   21.72 mm   649.45 um   648.78 um  
  17.00 MeV   9.603E-01  1.305E-03   22.76 mm   666.66 um   653.78 um  
  18.00 MeV   9.470E-01  1.243E-03   23.80 mm   683.87 um   658.72 um  
  20.00 MeV   9.199E-01  1.136E-03   25.94 mm   749.62 um   668.48 um  
  22.50 MeV   8.861E-01  1.027E-03   28.71 mm   847.54 um   680.60 um  
  25.00 MeV   8.532E-01  9.383E-04   31.58 mm   941.74 um   692.79 um  
  27.50 MeV   8.217E-01  8.645E-04   34.56 mm     1.03 mm   705.17 um  
  30.00 MeV   7.918E-01  8.020E-04   37.66 mm     1.12 mm   717.84 um  
