 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/SRIM files/20Na_Butane_140Torr.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  4.4510E-04 g/cm3 = 6.4564E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   8.046E-01  5.134E-03    7.83 mm   357.82 um   453.41 um  
   3.50 MeV   8.399E-01  4.836E-03    8.13 mm   361.71 um   458.37 um  
   3.75 MeV   8.719E-01  4.573E-03    8.42 mm   365.23 um   462.85 um  
   4.00 MeV   9.009E-01  4.340E-03    8.70 mm   368.45 um   466.91 um  
   4.50 MeV   9.504E-01  3.943E-03    9.24 mm   378.02 um   474.07 um  
   5.00 MeV   9.897E-01  3.617E-03    9.75 mm   386.45 um   480.25 um  
   5.50 MeV   1.020E+00  3.344E-03   10.25 mm   394.07 um   485.71 um  
   6.00 MeV   1.044E+00  3.113E-03   10.73 mm   401.10 um   490.60 um  
   6.50 MeV   1.062E+00  2.913E-03   11.20 mm   407.69 um   495.07 um  
   7.00 MeV   1.074E+00  2.740E-03   11.67 mm   413.96 um   499.19 um  
   8.00 MeV   1.089E+00  2.451E-03   12.59 mm   435.65 um   506.64 um  
   9.00 MeV   1.092E+00  2.221E-03   13.51 mm   455.88 um   513.34 um  
  10.00 MeV   1.089E+00  2.033E-03   14.42 mm   475.16 um   519.50 um  
  11.00 MeV   1.082E+00  1.877E-03   15.34 mm   493.81 um   525.26 um  
  12.00 MeV   1.071E+00  1.744E-03   16.27 mm   512.03 um   530.74 um  
  13.00 MeV   1.058E+00  1.629E-03   17.20 mm   529.96 um   536.00 um  
  14.00 MeV   1.044E+00  1.530E-03   18.15 mm   547.70 um   541.09 um  
  15.00 MeV   1.030E+00  1.443E-03   19.12 mm   565.33 um   546.06 um  
  16.00 MeV   1.014E+00  1.366E-03   20.09 mm   582.89 um   550.94 um  
  17.00 MeV   9.990E-01  1.297E-03   21.08 mm   600.44 um   555.75 um  
  18.00 MeV   9.833E-01  1.235E-03   22.09 mm   618.00 um   560.52 um  
  20.00 MeV   9.521E-01  1.129E-03   24.16 mm   685.11 um   570.00 um  
  22.50 MeV   9.139E-01  1.020E-03   26.83 mm   784.60 um   581.85 um  
  25.00 MeV   8.773E-01  9.319E-04   29.62 mm   879.89 um   593.87 um  
  27.50 MeV   8.428E-01  8.584E-04   32.53 mm   972.70 um   606.15 um  
  30.00 MeV   8.103E-01  7.962E-04   35.55 mm     1.06 mm   618.79 um  
  32.50 MeV   7.800E-01  7.429E-04   38.69 mm     1.15 mm   631.85 um  
  35.00 MeV   7.518E-01  6.967E-04   41.95 mm     1.25 mm   645.37 um  
  37.50 MeV   7.255E-01  6.562E-04   45.34 mm     1.34 mm   659.41 um  
  40.00 MeV   7.010E-01  6.204E-04   48.84 mm     1.43 mm   673.99 um  
  45.00 MeV   6.589E-01  5.599E-04   56.19 mm     1.77 mm   704.86 um  
