 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 14, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/actar_triumf/SRIM files/20Mg_Butane_180Torr.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  4.2930E-04 g/cm3 = 6.2272E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   8.346E-01  5.782E-03    7.74 mm   378.41 um   482.38 um  
   3.50 MeV   8.717E-01  5.448E-03    8.03 mm   382.02 um   487.33 um  
   3.75 MeV   9.056E-01  5.154E-03    8.31 mm   385.27 um   491.77 um  
   4.00 MeV   9.365E-01  4.892E-03    8.58 mm   388.25 um   495.81 um  
   4.50 MeV   9.896E-01  4.446E-03    9.10 mm   396.90 um   502.90 um  
   5.00 MeV   1.032E+00  4.080E-03    9.59 mm   404.50 um   509.00 um  
   5.50 MeV   1.067E+00  3.774E-03   10.06 mm   411.35 um   514.36 um  
   6.00 MeV   1.093E+00  3.513E-03   10.52 mm   417.66 um   519.16 um  
   6.50 MeV   1.114E+00  3.289E-03   10.97 mm   423.56 um   523.53 um  
   7.00 MeV   1.130E+00  3.094E-03   11.42 mm   429.15 um   527.54 um  
   8.00 MeV   1.149E+00  2.769E-03   12.29 mm   448.27 um   534.77 um  
   9.00 MeV   1.157E+00  2.510E-03   13.16 mm   466.08 um   541.22 um  
  10.00 MeV   1.158E+00  2.298E-03   14.02 mm   483.03 um   547.12 um  
  11.00 MeV   1.153E+00  2.122E-03   14.88 mm   499.40 um   552.61 um  
  12.00 MeV   1.145E+00  1.972E-03   15.75 mm   515.37 um   557.80 um  
  13.00 MeV   1.135E+00  1.843E-03   16.63 mm   531.06 um   562.75 um  
  14.00 MeV   1.122E+00  1.731E-03   17.51 mm   546.57 um   567.52 um  
  15.00 MeV   1.109E+00  1.633E-03   18.40 mm   561.96 um   572.16 um  
  16.00 MeV   1.095E+00  1.546E-03   19.31 mm   577.29 um   576.69 um  
  17.00 MeV   1.080E+00  1.468E-03   20.23 mm   592.58 um   581.14 um  
  18.00 MeV   1.065E+00  1.398E-03   21.16 mm   607.88 um   585.53 um  
  20.00 MeV   1.035E+00  1.278E-03   23.06 mm   666.33 um   594.21 um  
  22.50 MeV   9.968E-01  1.156E-03   25.52 mm   753.37 um   604.98 um  
  25.00 MeV   9.598E-01  1.056E-03   28.07 mm   837.10 um   615.82 um  
  27.50 MeV   9.244E-01  9.725E-04   30.72 mm   918.85 um   626.82 um  
  30.00 MeV   8.908E-01  9.022E-04   33.48 mm   999.46 um   638.08 um  
  32.50 MeV   8.592E-01  8.420E-04   36.33 mm     1.08 mm   649.65 um  
  35.00 MeV   8.295E-01  7.897E-04   39.29 mm     1.16 mm   661.59 um  
  37.50 MeV   8.017E-01  7.438E-04   42.35 mm     1.24 mm   673.93 um  
  40.00 MeV   7.756E-01  7.033E-04   45.52 mm     1.32 mm   686.72 um  
  45.00 MeV   7.308E-01  6.349E-04   52.16 mm     1.62 mm   713.67 um  
  50.00 MeV   6.857E-01  5.792E-04   59.22 mm     1.91 mm   742.67 um  
  55.00 MeV   6.520E-01  5.330E-04   66.69 mm     2.18 mm   773.81 um  
  60.00 MeV   6.220E-01  4.939E-04   74.54 mm     2.45 mm   807.03 um  
  65.00 MeV   5.952E-01  4.605E-04   82.75 mm     2.72 mm   842.32 um  
  70.00 MeV   5.710E-01  4.315E-04   91.32 mm     2.98 mm   879.67 um  
