 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 14, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/actar_triumf/SRIM files/1H_Butane_160mbar.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.8160E-04 g/cm3 = 5.5353E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.038E-02  4.173E-04  430.79 um    81.23 um    89.88 um  
  11.00 keV   3.169E-02  3.892E-04  460.99 um    83.10 um    92.99 um  
  12.00 keV   3.291E-02  3.651E-04  490.18 um    84.77 um    95.83 um  
  13.00 keV   3.406E-02  3.440E-04  518.47 um    86.27 um    98.46 um  
  14.00 keV   3.514E-02  3.255E-04  545.97 um    87.64 um   100.89 um  
  15.00 keV   3.615E-02  3.091E-04  572.75 um    88.90 um   103.16 um  
  16.00 keV   3.711E-02  2.944E-04  598.90 um    90.06 um   105.29 um  
  17.00 keV   3.801E-02  2.812E-04  624.47 um    91.13 um   107.29 um  
  18.00 keV   3.886E-02  2.692E-04  649.52 um    92.13 um   109.18 um  
  20.00 keV   4.043E-02  2.483E-04  698.24 um    94.06 um   112.68 um  
  22.50 keV   4.216E-02  2.268E-04  756.94 um    96.25 um   116.61 um  
  25.00 keV   4.367E-02  2.090E-04  813.62 um    98.17 um   120.15 um  
  27.50 keV   4.499E-02  1.940E-04  868.64 um    99.90 um   123.37 um  
  30.00 keV   4.614E-02  1.811E-04  922.29 um   101.46 um   126.34 um  
  32.50 keV   4.715E-02  1.701E-04  974.81 um   102.90 um   129.11 um  
  35.00 keV   4.803E-02  1.604E-04    1.03 mm   104.23 um   131.69 um  
