 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/SRIM files/20Na_Butane_160Torr.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  5.0870E-04 g/cm3 = 7.3789E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.264E-02  1.369E-01   56.21 um    15.79 um    12.04 um  
  11.00 keV   4.473E-02  1.356E-01   61.08 um    16.95 um    12.91 um  
  12.00 keV   4.671E-02  1.343E-01   65.94 um    18.08 um    13.76 um  
  13.00 keV   4.862E-02  1.328E-01   70.81 um    19.20 um    14.61 um  
  14.00 keV   5.046E-02  1.314E-01   75.68 um    20.30 um    15.44 um  
  15.00 keV   5.223E-02  1.299E-01   80.55 um    21.39 um    16.27 um  
  16.00 keV   5.394E-02  1.284E-01   85.42 um    22.47 um    17.09 um  
  17.00 keV   5.560E-02  1.270E-01   90.30 um    23.53 um    17.91 um  
  18.00 keV   5.721E-02  1.255E-01   95.19 um    24.58 um    18.72 um  
  20.00 keV   6.031E-02  1.227E-01  104.98 um    26.65 um    20.32 um  
  22.50 keV   6.397E-02  1.193E-01  117.26 um    29.19 um    22.30 um  
  25.00 keV   6.743E-02  1.160E-01  129.56 um    31.65 um    24.25 um  
  27.50 keV   7.072E-02  1.129E-01  141.90 um    34.05 um    26.18 um  
  30.00 keV   7.386E-02  1.100E-01  154.26 um    36.39 um    28.09 um  
  32.50 keV   7.688E-02  1.072E-01  166.64 um    38.68 um    29.98 um  
  35.00 keV   7.978E-02  1.046E-01  179.03 um    40.91 um    31.85 um  
