 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/SRIM files/20Mg_Butane_160Torr.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  5.0870E-04 g/cm3 = 7.3789E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.747E-02  1.489E-01   53.93 um    15.50 um    11.77 um  
  11.00 keV   3.930E-02  1.477E-01   58.59 um    16.65 um    12.62 um  
  12.00 keV   4.104E-02  1.465E-01   63.25 um    17.78 um    13.46 um  
  13.00 keV   4.272E-02  1.451E-01   67.92 um    18.89 um    14.29 um  
  14.00 keV   4.433E-02  1.437E-01   72.60 um    19.99 um    15.12 um  
  15.00 keV   4.589E-02  1.423E-01   77.28 um    21.08 um    15.93 um  
  16.00 keV   4.739E-02  1.409E-01   81.97 um    22.16 um    16.74 um  
  17.00 keV   4.885E-02  1.395E-01   86.67 um    23.22 um    17.54 um  
  18.00 keV   5.027E-02  1.380E-01   91.38 um    24.28 um    18.34 um  
  20.00 keV   5.299E-02  1.352E-01  100.83 um    26.38 um    19.93 um  
  22.50 keV   5.620E-02  1.317E-01  112.70 um    28.95 um    21.89 um  
  25.00 keV   5.924E-02  1.284E-01  124.64 um    31.47 um    23.83 um  
  27.50 keV   6.213E-02  1.252E-01  136.64 um    33.94 um    25.76 um  
  30.00 keV   6.489E-02  1.222E-01  148.69 um    36.36 um    27.67 um  
  32.50 keV   6.754E-02  1.193E-01  160.79 um    38.73 um    29.57 um  
  35.00 keV   7.009E-02  1.166E-01  172.94 um    41.06 um    31.46 um  
