 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 14, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/actar_triumf/SRIM files/20Na_Butane_160mbar.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  3.8160E-04 g/cm3 = 5.5353E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   6.898E-01  4.401E-03    9.14 mm   417.36 um   528.86 um  
   3.50 MeV   7.201E-01  4.146E-03    9.49 mm   421.90 um   534.65 um  
   3.75 MeV   7.475E-01  3.921E-03    9.82 mm   426.01 um   539.87 um  
   4.00 MeV   7.724E-01  3.721E-03   10.15 mm   429.77 um   544.61 um  
   4.50 MeV   8.148E-01  3.380E-03   10.78 mm   440.93 um   552.96 um  
   5.00 MeV   8.485E-01  3.101E-03   11.38 mm   450.76 um   560.17 um  
   5.50 MeV   8.748E-01  2.867E-03   11.95 mm   459.64 um   566.53 um  
   6.00 MeV   8.950E-01  2.669E-03   12.52 mm   467.84 um   572.24 um  
   6.50 MeV   9.101E-01  2.498E-03   13.07 mm   475.54 um   577.45 um  
   7.00 MeV   9.211E-01  2.349E-03   13.61 mm   482.84 um   582.25 um  
   8.00 MeV   9.334E-01  2.102E-03   14.69 mm   508.14 um   590.95 um  
   9.00 MeV   9.366E-01  1.904E-03   15.75 mm   531.74 um   598.76 um  
  10.00 MeV   9.338E-01  1.743E-03   16.82 mm   554.23 um   605.94 um  
  11.00 MeV   9.272E-01  1.609E-03   17.89 mm   575.98 um   612.67 um  
  12.00 MeV   9.181E-01  1.495E-03   18.97 mm   597.23 um   619.06 um  
  13.00 MeV   9.073E-01  1.397E-03   20.07 mm   618.15 um   625.19 um  
  14.00 MeV   8.954E-01  1.312E-03   21.17 mm   638.84 um   631.13 um  
  15.00 MeV   8.828E-01  1.237E-03   22.30 mm   659.40 um   636.93 um  
  16.00 MeV   8.697E-01  1.171E-03   23.44 mm   679.89 um   642.62 um  
  17.00 MeV   8.564E-01  1.112E-03   24.59 mm   700.35 um   648.23 um  
  18.00 MeV   8.430E-01  1.059E-03   25.77 mm   720.84 um   653.79 um  
  20.00 MeV   8.162E-01  9.678E-04   28.18 mm   799.11 um   664.85 um  
  22.50 MeV   7.835E-01  8.748E-04   31.30 mm   915.16 um   678.68 um  
  25.00 MeV   7.522E-01  7.990E-04   34.55 mm     1.03 mm   692.69 um  
  27.50 MeV   7.225E-01  7.359E-04   37.94 mm     1.13 mm   707.02 um  
  30.00 MeV   6.947E-01  6.826E-04   41.47 mm     1.24 mm   721.76 um  
  32.50 MeV   6.688E-01  6.370E-04   45.13 mm     1.35 mm   736.99 um  
  35.00 MeV   6.445E-01  5.973E-04   48.94 mm     1.45 mm   752.77 um  
  37.50 MeV   6.220E-01  5.626E-04   52.88 mm     1.56 mm   769.14 um  
  40.00 MeV   6.010E-01  5.319E-04   56.97 mm     1.66 mm   786.15 um  
  45.00 MeV   5.649E-01  4.800E-04   65.54 mm     2.06 mm   822.15 um  
  50.00 MeV   5.290E-01  4.378E-04   74.68 mm     2.44 mm   861.00 um  
  55.00 MeV   5.023E-01  4.028E-04   84.38 mm     2.80 mm   902.83 um  
  60.00 MeV   4.785E-01  3.733E-04   94.57 mm     3.15 mm   947.50 um  
  65.00 MeV   4.574E-01  3.479E-04  105.25 mm     3.50 mm   994.97 um  
  70.00 MeV   4.384E-01  3.260E-04  116.41 mm     3.84 mm     1.05 mm  
  80.00 MeV   4.057E-01  2.899E-04  140.12 mm     5.10 mm     1.15 mm  
  90.00 MeV   3.784E-01  2.613E-04  165.63 mm     6.26 mm     1.27 mm  
 100.00 MeV   3.553E-01  2.380E-04  192.90 mm     7.36 mm     1.40 mm  
 110.00 MeV   3.352E-01  2.188E-04  221.86 mm     8.43 mm     1.54 mm  
 120.00 MeV   3.177E-01  2.026E-04  252.49 mm     9.48 mm     1.68 mm  
 130.00 MeV   3.022E-01  1.887E-04  284.76 mm    10.53 mm     1.84 mm  
 140.00 MeV   2.882E-01  1.767E-04  318.63 mm    11.57 mm     2.00 mm  
 150.00 MeV   2.756E-01  1.661E-04  354.10 mm    12.62 mm     2.17 mm  
 160.00 MeV   2.642E-01  1.569E-04  391.14 mm    13.67 mm     2.35 mm  
 170.00 MeV   2.537E-01  1.486E-04  429.75 mm    14.73 mm     2.53 mm  
