 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 14, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/actar_triumf/SRIM files/20Na_Butane_180mbar.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  4.2930E-04 g/cm3 = 6.2272E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.599E-02  1.156E-01   66.61 um    18.71 um    14.26 um  
  11.00 keV   3.775E-02  1.145E-01   72.37 um    20.08 um    15.29 um  
  12.00 keV   3.942E-02  1.133E-01   78.14 um    21.43 um    16.31 um  
  13.00 keV   4.103E-02  1.121E-01   83.90 um    22.75 um    17.31 um  
  14.00 keV   4.258E-02  1.109E-01   89.67 um    24.06 um    18.30 um  
  15.00 keV   4.408E-02  1.096E-01   95.45 um    25.35 um    19.28 um  
  16.00 keV   4.552E-02  1.084E-01  101.22 um    26.62 um    20.26 um  
  17.00 keV   4.692E-02  1.071E-01  107.01 um    27.88 um    21.22 um  
  18.00 keV   4.828E-02  1.059E-01  112.80 um    29.12 um    22.18 um  
  20.00 keV   5.089E-02  1.035E-01  124.40 um    31.58 um    24.08 um  
  22.50 keV   5.398E-02  1.006E-01  138.94 um    34.58 um    26.42 um  
  25.00 keV   5.690E-02  9.789E-02  153.53 um    37.51 um    28.73 um  
  27.50 keV   5.968E-02  9.529E-02  168.14 um    40.35 um    31.02 um  
  30.00 keV   6.233E-02  9.282E-02  182.79 um    43.12 um    33.28 um  
  32.50 keV   6.488E-02  9.049E-02  197.46 um    45.83 um    35.53 um  
  35.00 keV   6.732E-02  8.829E-02  212.15 um    48.47 um    37.75 um  
