 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/SRIM files/1H_Butane_160Torr.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  5.0870E-04 g/cm3 = 7.3789E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.869E-02  5.563E-04  335.22 um    64.19 um    70.92 um  
  11.00 keV   4.036E-02  5.189E-04  358.88 um    65.70 um    73.41 um  
  12.00 keV   4.192E-02  4.866E-04  381.74 um    67.04 um    75.70 um  
  13.00 keV   4.338E-02  4.586E-04  403.90 um    68.25 um    77.80 um  
  14.00 keV   4.475E-02  4.339E-04  425.45 um    69.36 um    79.75 um  
  15.00 keV   4.604E-02  4.120E-04  446.44 um    70.37 um    81.58 um  
  16.00 keV   4.726E-02  3.924E-04  466.94 um    71.30 um    83.28 um  
  17.00 keV   4.841E-02  3.748E-04  486.99 um    72.17 um    84.89 um  
  18.00 keV   4.950E-02  3.588E-04  506.62 um    72.97 um    86.41 um  
  20.00 keV   5.149E-02  3.310E-04  544.82 um    74.53 um    89.22 um  
  22.50 keV   5.370E-02  3.023E-04  590.85 um    76.29 um    92.38 um  
  25.00 keV   5.562E-02  2.785E-04  635.30 um    77.83 um    95.22 um  
  27.50 keV   5.730E-02  2.586E-04  678.46 um    79.22 um    97.81 um  
  30.00 keV   5.877E-02  2.415E-04  720.55 um    80.48 um   100.21 um  
  32.50 keV   6.005E-02  2.267E-04  761.75 um    81.63 um   102.43 um  
  35.00 keV   6.117E-02  2.138E-04  802.20 um    82.70 um   104.51 um  
